Condition,StudentId,Session,Measure,Score
AY,18,Pre,JaccardSimilarity,0.0
AY,18,Pre,CosineSimilarity,0
AY,80,T1,JaccardSimilarity,0.06790123456790123
AY,80,T1,CosineSimilarity,0.04703096453069084
AY,107,T4,JaccardSimilarity,0.09444444444444444
AY,107,T4,CosineSimilarity,0.044297413709718236
AY,89,T6,JaccardSimilarity,0.12041884816753927
AY,89,T6,CosineSimilarity,0.10311508012803497
AY,103,T1,JaccardSimilarity,0.019736842105263157
AY,103,T1,CosineSimilarity,0.006878288981334663
AY,84,T4,JaccardSimilarity,0.12949640287769784
AY,84,T4,CosineSimilarity,0.09569162106554488
AY,41,T1,JaccardSimilarity,0.0
AY,41,T1,CosineSimilarity,0
AY,84,Pre,JaccardSimilarity,0.0
AY,84,Pre,CosineSimilarity,0
AY,34,T1,JaccardSimilarity,0.043010752688172046
AY,34,T1,CosineSimilarity,0.02857604993090618
AY,39,T3,JaccardSimilarity,0.014925373134328358
AY,39,T3,CosineSimilarity,0.0090040699982909
AY,30,T4,JaccardSimilarity,0.03125
AY,30,T4,CosineSimilarity,0.026816964353637902
AY,26,Pre,JaccardSimilarity,0.0
AY,26,Pre,CosineSimilarity,0
AY,41,IP,JaccardSimilarity,0.0
AY,41,IP,CosineSimilarity,0
AY,33,T3,JaccardSimilarity,0.023952095808383235
AY,33,T3,CosineSimilarity,0.0256345579584737
AY,63,DP2,JaccardSimilarity,0.11320754716981132
AY,63,DP2,CosineSimilarity,0.08731749886858349
AY,117,Pre,JaccardSimilarity,0.005988023952095809
AY,117,Pre,CosineSimilarity,0.0034616112108052095
AY,80,IP,JaccardSimilarity,0.0
AY,80,IP,CosineSimilarity,0
AY,15,DP,JaccardSimilarity,0.0
AY,15,DP,CosineSimilarity,0
AY,103,IP,JaccardSimilarity,0.0
AY,103,IP,CosineSimilarity,0
AY,104,T3,JaccardSimilarity,0.06741573033707865
AY,104,T3,CosineSimilarity,0.045418845810630534
AY,83,T6,JaccardSimilarity,0.10945273631840796
AY,83,T6,CosineSimilarity,0.06807386897119105
AY,123,DP2,JaccardSimilarity,0.09947643979057591
AY,123,DP2,CosineSimilarity,0.0692934920454709
AY,87,T3,JaccardSimilarity,0.025906735751295335
AY,87,T3,CosineSimilarity,0.01579372455676236
AY,34,IP,JaccardSimilarity,0.0
